wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114,inwoners,oppervlakte_ha,oppervlakte_km2,aantal_bomen,Misdrijven_per_1000_inwoners,Lights_per_km2,Trees_per_km2,min_dist_nightlife,mean_dist_nightlife,min_dist_mobility,mean_dist_mobility,min_dist_retail_daily,mean_dist_retail_daily,min_dist_education_youth,mean_dist_education_youth,min_dist_culture_sport_public,mean_dist_culture_sport_public,min_dist_emergency_health,mean_dist_emergency_health
WK0363EU,Helmersbuurt,447,60.0,wk0363eu,0.4,3.3,0.5,2.4,3.3,0.3,0.3,1.0,0.3,0.2,0.1,0.3,0.3,0.6,0.6,0.6,0.6,1.2,2.4,2.9,3.6,1.0,1.7,6.8,1.3,1.0,1.3,1.1,1.0,0.9,3.0,1.6,7495,35.0,0.35,745,8.005336891260841,1277.142857142857,2128.571428571429,0.1,0.5499999999999999,2.4,2.966666666666667,0.3,0.5333333333333333,0.3,0.65,1.0,2.466666666666667,0.4,1.9166666666666667
WK0363EV,Vondelparkbuurt,271,37.0,wk0363ev,0.5,3.6,0.4,2.2,3.6,0.4,0.3,1.4,0.4,0.3,0.2,0.2,0.3,0.9,1.0,0.6,0.7,1.1,2.6,3.1,3.4,1.2,1.4,6.4,1.0,0.9,1.1,1.0,1.1,1.1,3.3,1.7,1865,22.0,0.22,226,19.839142091152816,1231.8181818181818,1027.2727272727273,0.2,0.5333333333333333,2.6,3.033333333333333,0.3,0.6999999999999998,0.3,0.7666666666666666,0.9,2.3666666666666667,0.4,2.0000000000000004
WK0363FA,Sloterdijk Nieuw-West,2990,123.0,wk0363fa,2.1,3.3,2.1,3.3,3.3,1.3,1.3,2.4,1.6,0.6,0.5,0.7,1.6,1.6,1.7,1.2,1.2,1.2,0.5,1.6,1.6,2.4,3.1,10.9,3.6,2.9,5.6,3.7,4.2,2.5,2.7,2.3,1185,770.0,7.7,7408,103.79746835443038,388.31168831168833,962.077922077922,0.5,2.1166666666666667,0.5,1.2333333333333334,1.3,1.6666666666666667,1.2,1.4166666666666667,2.4,4.266666666666667,2.1,2.733333333333334
WK0363FB,Geuzenveld,3088,76.0,wk0363fb,0.6,3.4,0.6,3.4,3.4,0.4,0.4,2.2,0.5,0.4,0.4,2.0,0.3,0.4,0.4,1.7,1.7,2.5,1.0,3.8,3.8,0.7,2.2,12.7,2.5,2.9,6.9,5.5,2.2,2.1,3.0,2.1,18960,383.0,3.83,10515,4.008438818565401,806.266318537859,2745.4308093994778,0.4,2.6166666666666667,1.0,2.8666666666666667,0.4,1.0,0.3,1.1666666666666667,0.7,4.0,0.6,2.25
WK0363FC,Slotermeer-West,1479,56.0,wk0363fc,0.6,2.3,0.5,2.3,2.3,0.4,0.3,1.3,0.4,0.4,0.3,1.0,0.4,0.6,0.6,0.7,0.7,1.5,1.2,3.1,3.1,0.8,1.1,11.6,1.4,2.9,5.8,4.5,2.4,1.1,2.9,2.2,10705,91.0,0.91,2666,5.2312003736571695,1625.2747252747251,2929.6703296703295,0.3,2.066666666666667,1.2,2.466666666666667,0.3,0.6666666666666666,0.4,0.75,0.8,3.4499999999999997,0.5,1.7
WK0363FD,Slotermeer-Noordoost,1563,58.0,wk0363fd,0.5,2.1,0.7,2.1,2.1,0.6,0.4,0.8,0.7,0.4,0.3,0.9,0.4,0.5,0.4,1.2,1.2,1.3,0.9,3.0,3.0,1.1,1.9,10.9,1.5,2.1,5.1,3.7,3.0,1.0,2.5,2.7,9205,102.0,1.02,3158,6.300923411189571,1532.3529411764705,3096.078431372549,0.3,1.8499999999999999,0.9,2.3000000000000003,0.4,0.6,0.4,0.8333333333333334,1.1,3.3333333333333335,0.5,1.7000000000000002
WK0363FE,Slotermeer-Zuidoost,1616,58.0,wk0363fe,0.9,1.4,0.9,1.4,1.4,0.8,0.5,1.1,1.0,0.6,0.4,0.8,0.6,0.5,0.6,0.5,0.5,0.6,1.2,3.1,3.6,1.1,1.2,10.8,0.7,2.4,4.9,3.7,2.0,1.4,2.0,2.4,6755,190.0,1.9,4434,8.586232420429312,850.5263157894738,2333.684210526316,0.4,1.9000000000000004,1.2,2.6333333333333333,0.5,0.8000000000000002,0.5,0.55,0.7,3.033333333333333,0.9,1.4000000000000001
WK0363FF,Lutkemeer/Ookmeer,890,16.0,wk0363ff,1.5,4.9,1.7,4.9,4.9,1.5,1.3,2.7,1.3,1.1,1.4,1.5,1.2,0.8,1.1,2.8,2.8,3.4,2.1,3.9,5.9,2.0,3.3,13.1,4.0,2.8,8.4,7.2,2.2,2.6,2.0,1.6,1250,569.0,5.69,4856,12.8,156.414762741652,853.427065026362,1.1,3.483333333333334,2.1,3.966666666666667,1.3,1.8333333333333333,0.8,2.0166666666666666,2.0,4.533333333333333,1.5,3.25
WK0363FG,De Aker,2258,34.0,wk0363fg,1.0,5.7,1.2,4.2,4.2,1.0,0.8,2.5,1.8,0.8,1.3,1.8,0.5,0.5,0.7,1.5,1.5,2.2,2.6,5.2,7.6,2.7,3.2,13.0,5.4,3.0,8.0,7.3,3.3,1.7,2.0,3.4,14435,164.0,1.64,4081,2.3553862140630413,1376.829268292683,2488.4146341463415,0.8,3.5,2.6,5.133333333333334,0.8,1.4333333333333333,0.5,1.1500000000000001,2.0,4.883333333333333,1.0,3.283333333333333
WK0363FH,De Punt,916,40.0,wk0363fh,1.1,5.4,1.1,4.3,4.3,0.5,0.4,1.5,0.5,0.3,0.4,1.2,0.3,0.5,0.4,1.5,1.5,2.3,3.1,5.2,6.8,2.1,3.6,13.1,4.5,1.9,7.9,7.3,2.1,1.5,0.7,2.3,6330,60.0,0.6,1615,6.3191153238546605,1526.6666666666667,2691.666666666667,0.3,2.9333333333333336,3.1,5.033333333333334,0.4,0.7999999999999999,0.3,1.0833333333333333,0.7,4.316666666666666,1.1,3.0833333333333335
WK0363FJ,Osdorp-Midden,1659,74.0,wk0363fj,0.6,4.6,0.7,3.4,3.4,0.5,0.4,1.1,0.9,0.5,0.3,1.0,0.3,0.4,0.4,1.0,1.0,1.4,3.0,4.4,6.4,1.6,3.0,12.2,4.1,1.6,7.1,6.4,1.9,0.8,1.4,2.0,15480,112.0,1.12,3044,4.780361757105943,1481.2499999999998,2717.8571428571427,0.3,2.6999999999999997,3.0,4.6000000000000005,0.4,0.6666666666666666,0.3,0.75,1.4,3.983333333333333,0.6,2.4499999999999997
