neighbourhood_code,neighbourhood_name,population,crime_rate_per_1000,log_crime_rate,tree_density_per_km2,light_density_per_km2,mean_dist_nightlife,mean_dist_mobility,mean_dist_retail,mean_dist_education,mean_dist_culture_sport,mean_dist_emergency_health
WK0363ET,Overtoomse Sluis,7945,4.405286343612335,1.6873774272295088,1629.032258064516,1280.6451612903227,0.8166666666666668,2.466666666666667,0.5,0.9499999999999998,2.9499999999999997,2.1
WK0363EU,Helmersbuurt,7495,8.005336891260841,2.197817389506229,2128.571428571429,1277.142857142857,0.5499999999999999,2.966666666666667,0.5333333333333333,0.65,2.466666666666667,1.9166666666666667
WK0363EV,Vondelparkbuurt,1865,19.839142091152816,3.036833049586404,1027.2727272727273,1231.8181818181818,0.5333333333333333,3.033333333333333,0.6999999999999998,0.7666666666666666,2.3666666666666667,2.0000000000000004
WK0363FA,Sloterdijk Nieuw-West,1185,103.79746835443038,4.652029614671784,962.077922077922,388.31168831168833,2.1166666666666667,1.2333333333333334,1.6666666666666667,1.4166666666666667,4.266666666666667,2.733333333333334
WK0363FB,Geuzenveld,18960,4.008438818565401,1.611124253474537,2745.4308093994778,806.266318537859,2.6166666666666667,2.8666666666666667,1.0,1.1666666666666667,4.0,2.25
WK0363FC,Slotermeer-West,10705,5.2312003736571695,1.8295689905891233,2929.6703296703295,1625.2747252747251,2.066666666666667,2.466666666666667,0.6666666666666666,0.75,3.4499999999999997,1.7
WK0363FD,Slotermeer-Noordoost,9205,6.300923411189571,1.9880008348380704,3096.078431372549,1532.3529411764705,1.8499999999999999,2.3000000000000003,0.6,0.8333333333333334,3.3333333333333335,1.7000000000000002
WK0363FE,Slotermeer-Zuidoost,6755,8.586232420429312,2.2603279462633883,2333.684210526316,850.5263157894738,1.9000000000000004,2.6333333333333333,0.8000000000000002,0.55,3.033333333333333,1.4000000000000001
WK0363FF,Lutkemeer/Ookmeer,1250,12.8,2.624668592163159,853.427065026362,156.414762741652,3.483333333333334,3.966666666666667,1.8333333333333333,2.0166666666666666,4.533333333333333,3.25
WK0363FG,De Aker,14435,2.3553862140630413,1.21056687976345,2488.4146341463415,1376.829268292683,3.5,5.133333333333334,1.4333333333333333,1.1500000000000001,4.883333333333333,3.283333333333333
WK0363FH,De Punt,6330,6.3191153238546605,1.9904894632724721,2691.666666666667,1526.6666666666667,2.9333333333333336,5.033333333333334,0.7999999999999999,1.0833333333333333,4.316666666666666,3.0833333333333335
WK0363FJ,Osdorp-Midden,15480,4.780361757105943,1.7544662684603478,2717.8571428571427,1481.2499999999998,2.6999999999999997,4.6000000000000005,0.6666666666666666,0.75,3.983333333333333,2.4499999999999997
WK0363FK,Osdorp-Oost,17645,5.724001133465571,1.9056833841164875,2395.4802259887006,1416.9491525423728,2.4166666666666665,4.1,0.6666666666666666,0.8666666666666667,3.566666666666667,2.033333333333333
WK0363FL,Slotervaart-Noord,7805,4.740550928891736,1.7475551863687875,2405.806451612903,1046.4516129032259,1.6333333333333335,2.766666666666667,1.2,0.5333333333333333,3.35,1.4333333333333336
WK0363FM,Overtoomse Veld,14670,5.589638718473075,1.8854985243216238,3087.0129870129867,1094.155844155844,1.3499999999999999,2.2666666666666666,0.9666666666666667,0.5333333333333333,2.9499999999999997,1.0333333333333332
WK0363FN,Slotervaart-Zuid,11085,5.683355886332882,1.899620239592423,2315.267175572519,1259.5419847328244,1.9000000000000001,2.6666666666666665,1.0999999999999999,0.6999999999999998,4.033333333333333,1.4666666666666668
WK0363FP,Westlandgracht,13195,6.441834028040924,2.007117327611899,2334.0,928.6666666666666,1.5833333333333337,2.066666666666667,0.9,0.7333333333333333,3.9166666666666665,1.5166666666666666
