ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;AfstandTotZiekenhuis_15;AfstandTotGroteSupermarkt_24;AfstandTotOvDagelLevensmiddelen_28;AfstandTotWarenhuis_32;AfstandTotCafeED_36;AfstandTotCafetariaED_40;AfstandTotRestaurant_44;AfstandTotHotelED_48;AfstandTotKinderdagverblijf_52;AfstandTotBuitenschoolseOpvang_56;AfstandTotSchool_60;AfstandTotSchool_64;AfstandTotSchool_68;AfstandTotSchool_72;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;AfstandTotPodiumkunstenTotaal_99;AfstandTotPoppodium_103;AfstandTotBioscoop_104;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;AfstandTotBrandweerkazerne_114
1525;BU0363KQ01;Amsterdam                               ;Buurt     ;BU0363KQ01;2;1.6;1.9;1.9;1.8;1.8;2.0;1.8;2.8;1.7;2.0;0.8;2.1;1.9;2.2;2.3;2.4;2.4;2.4;1.5;3.4;3.5;2.9;5.3;9.6;4.8;3.5;4.9;5.5;2.6;3.0;4.1;4.5
1526;BU0363KQ02;Amsterdam                               ;Buurt     ;BU0363KQ02;2;0.4;0.4;0.7;0.4;0.4;0.9;0.7;1.6;0.6;0.6;0.7;0.7;0.6;0.7;0.8;0.8;0.8;0.8;0.2;1.9;1.9;1.4;3.9;7.8;3.3;1.9;3.9;3.7;1.5;1.8;3.1;3.0
1527;BU0363KQ03;Amsterdam                               ;Buurt     ;BU0363KQ03;2;0.7;1.0;0.8;1.0;1.0;0.8;0.6;1.2;0.5;0.7;0.4;1.0;0.6;0.7;1.1;1.1;1.1;1.2;1.0;1.9;1.9;1.3;3.9;7.8;3.7;2.2;3.8;4.1;1.2;1.3;2.3;3.9
1528;BU0363KQ04;Amsterdam                               ;Buurt     ;BU0363KQ04;2;0.4;1.7;0.4;1.7;1.7;0.4;0.3;0.5;0.6;0.3;0.3;0.5;0.5;0.4;0.5;1.0;1.1;1.1;1.4;1.6;1.7;0.4;3.0;6.9;3.3;1.6;4.3;3.5;1.1;1.5;1.6;3.9
1529;BU0363KQ05;Amsterdam                               ;Buurt     ;BU0363KQ05;3;0.5;1.5;0.5;1.5;1.5;0.4;0.5;1.7;0.7;0.6;0.3;0.5;0.3;0.9;1.0;0.5;0.5;0.5;1.6;2.5;2.5;1.7;4.2;8.2;3.0;1.9;3.1;4.8;1.2;0.7;1.9;4.0
1530;BU0363KQ06;Amsterdam                               ;Buurt     ;BU0363KQ06;2;0.4;2.4;0.3;2.4;2.4;0.5;0.2;1.2;1.0;0.4;0.2;0.5;0.3;0.5;0.5;0.3;0.3;0.4;1.9;2.2;2.4;1.3;3.4;7.3;3.7;1.9;3.9;4.2;1.8;0.9;0.9;4.0
1531;WK0363KR  ;Amsterdam                               ;Wijk      ;WK0363KR  ;2;0.9;2.7;0.7;2.7;2.7;0.3;0.4;1.1;1.3;0.3;0.3;0.6;0.4;0.4;0.5;0.7;0.7;0.7;1.1;1.5;2.3;1.1;2.6;6.5;3.4;1.9;4.5;3.4;1.9;1.7;0.8;4.1
1532;BU0363KR01;Amsterdam                               ;Buurt     ;BU0363KR01;2;0.9;2.3;0.8;2.3;2.3;0.6;0.7;1.0;0.8;0.4;0.5;0.7;0.5;0.5;0.5;1.2;1.3;1.2;1.0;1.3;1.9;0.8;2.4;6.3;3.2;1.5;4.4;3.1;1.4;1.9;1.5;3.8
1533;BU0363KR02;Amsterdam                               ;Buurt     ;BU0363KR02;2;0.8;2.5;0.7;2.5;2.5;0.3;0.3;0.9;1.0;0.3;0.3;0.7;0.5;0.4;0.6;1.0;1.0;1.0;0.7;1.1;2.1;0.8;2.2;6.1;3.1;1.6;4.4;3.0;1.6;1.8;1.0;3.8
1534;BU0363KR03;Amsterdam                               ;Buurt     ;BU0363KR03;2;1.1;3.0;0.8;3.0;3.0;0.3;0.3;1.2;1.6;0.3;0.2;0.5;0.3;0.3;0.3;0.3;0.3;0.3;1.4;1.8;2.6;1.3;2.9;6.8;3.8;2.2;4.5;3.7;2.2;1.6;0.4;4.4
