wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114
WK0363FG,De Aker,2258,34.0,wk0363fg,1.0,5.7,1.2,4.2,4.2,1.0,0.8,2.5,1.8,0.8,1.3,1.8,0.5,0.5,0.7,1.5,1.5,2.2,2.6,5.2,7.6,2.7,3.2,13.0,5.4,3.0,8.0,7.3,3.3,1.7,2.0,3.4
WK0363FH,De Punt,916,40.0,wk0363fh,1.1,5.4,1.1,4.3,4.3,0.5,0.4,1.5,0.5,0.3,0.4,1.2,0.3,0.5,0.4,1.5,1.5,2.3,3.1,5.2,6.8,2.1,3.6,13.1,4.5,1.9,7.9,7.3,2.1,1.5,0.7,2.3
WK0363FJ,Osdorp-Midden,1659,74.0,wk0363fj,0.6,4.6,0.7,3.4,3.4,0.5,0.4,1.1,0.9,0.5,0.3,1.0,0.3,0.4,0.4,1.0,1.0,1.4,3.0,4.4,6.4,1.6,3.0,12.2,4.1,1.6,7.1,6.4,1.9,0.8,1.4,2.0
WK0363FK,Osdorp-Oost,2508,101.0,wk0363fk,0.4,3.8,0.8,3.0,3.0,0.6,0.4,1.0,0.6,0.3,0.4,1.0,0.4,0.6,0.6,1.2,1.2,1.2,2.9,3.8,5.6,0.9,2.5,11.7,3.2,1.0,6.5,5.7,1.1,1.0,2.1,1.2
WK0363FL,Slotervaart-Noord,1622,37.0,wk0363fl,0.7,1.6,0.7,1.5,1.5,0.7,0.4,2.5,0.5,0.6,0.3,0.8,0.5,0.4,0.5,0.6,0.6,0.6,1.6,1.8,4.9,0.9,2.2,10.0,1.7,2.7,4.3,3.3,0.9,2.2,2.6,2.6
WK0363FM,Overtoomse Veld,1685,82.0,wk0363fm,0.4,1.0,0.5,1.0,1.0,0.6,0.4,1.9,0.6,0.4,0.4,0.6,0.4,0.3,0.4,0.7,0.7,0.7,1.2,1.4,4.2,0.7,1.4,9.4,1.7,2.7,3.6,2.5,0.9,1.5,1.8,2.3
WK0363FN,Slotervaart-Zuid,1650,63.0,wk0363fn,0.5,2.9,0.7,1.5,1.5,0.6,0.4,2.3,0.6,0.6,0.3,0.8,0.4,0.5,0.5,0.7,0.7,1.4,1.4,2.1,4.5,2.0,3.4,9.6,2.9,2.6,4.8,4.3,1.0,1.8,3.7,1.7
WK0363FP,Westlandgracht,1393,85.0,wk0363fp,0.6,2.7,0.7,2.1,2.1,0.6,0.4,1.7,0.8,0.3,0.3,0.3,0.4,0.4,0.6,0.9,0.9,1.2,1.0,1.5,3.7,2.1,3.0,8.8,3.3,3.0,4.2,3.6,1.2,1.2,3.3,0.9
WK0363FQ,Sloten/Nieuw-Sloten,3706,58.0,wk0363fq,0.7,4.4,1.0,2.0,2.0,0.7,0.7,2.8,1.5,0.8,0.7,1.5,0.6,0.6,0.7,1.0,1.0,1.1,1.4,4.0,5.7,2.3,3.5,10.9,4.5,2.7,6.6,6.1,1.8,2.2,3.5,2.6
WK0363KA,Hoofddorppleinbuurt,1038,76.0,wk0363ka,0.6,2.9,0.6,2.6,2.6,0.5,0.3,0.9,0.3,0.3,0.2,0.6,0.2,0.4,0.6,0.7,0.7,1.5,0.9,1.9,3.1,1.7,3.0,8.2,2.9,2.5,3.6,3.0,1.7,0.5,3.2,1.0
WK0363KB,Schinkelbuurt,316,16.0,wk0363kb,0.5,2.3,0.5,2.3,2.3,0.3,0.2,1.2,0.2,0.2,0.1,0.7,0.2,0.4,0.9,0.9,0.9,1.0,1.5,2.2,2.4,1.1,2.8,7.6,2.3,1.8,3.2,3.0,2.3,0.4,3.2,1.5
WK0363KC,Willemspark,692,37.0,wk0363kc,0.4,2.6,0.4,2.6,2.6,0.3,0.3,1.5,0.5,0.2,0.2,0.3,0.4,0.6,0.4,0.5,0.6,0.5,1.9,2.3,2.3,1.3,2.2,7.0,1.6,1.1,2.7,2.5,2.5,0.6,3.4,1.8
WK0363KD,Museumkwartier,1550,143.0,wk0363kd,0.4,3.1,0.5,2.8,3.1,0.4,0.2,1.3,0.4,0.3,0.2,0.2,0.3,0.5,0.5,0.6,0.8,0.6,2.6,2.5,2.5,0.7,1.0,6.0,0.6,0.7,1.7,1.2,1.9,1.1,3.5,1.5
WK0363KE,Oude Pijp,630,135.0,wk0363ke,0.7,2.2,0.9,2.2,2.2,0.3,0.2,1.2,0.2,0.2,0.1,0.4,0.5,0.9,0.9,0.7,0.7,0.7,2.7,2.6,3.1,1.0,1.1,5.0,1.0,1.1,1.7,1.1,2.5,0.6,2.5,1.5
WK0363KF,Nieuwe Pijp,539,75.0,wk0363kf,0.4,2.1,0.6,2.1,2.1,0.3,0.2,1.0,0.2,0.3,0.1,0.4,0.3,0.4,0.6,0.4,0.5,0.5,2.1,1.9,2.9,0.8,1.4,4.7,0.9,0.9,2.2,0.9,2.9,0.6,2.8,1.8
WK0363KG,Zuid Pijp,504,32.0,wk0363kg,0.6,2.1,0.6,2.1,2.1,0.5,0.3,1.4,0.4,0.3,0.3,0.6,0.3,0.3,0.8,0.6,0.6,0.6,2.1,1.7,3.4,0.7,1.7,4.2,0.9,0.9,2.5,1.4,3.2,0.5,2.7,1.9
WK0363KH,Stadionbuurt,1192,78.0,wk0363kh,0.7,1.8,0.6,1.8,1.8,0.3,0.3,1.3,0.3,0.3,0.2,0.7,0.3,0.3,0.4,0.8,0.8,0.8,1.2,1.6,1.6,0.9,2.9,6.9,2.3,1.4,3.6,2.7,2.2,1.0,3.7,2.2
WK0363KJ,Apollobuurt,1186,63.0,wk0363kj,0.4,2.7,0.5,2.7,2.7,0.5,0.4,0.6,0.9,0.4,0.4,0.5,0.4,0.5,0.6,0.4,1.0,0.4,1.9,1.5,1.5,1.1,1.9,5.9,1.5,0.7,2.7,1.8,2.1,1.1,3.3,2.2
WK0363KK,Scheldebuurt,1287,79.0,wk0363kk,0.4,3.0,0.4,3.0,3.0,0.4,0.4,1.8,0.5,0.3,0.3,0.6,0.3,0.4,0.5,0.8,0.9,1.0,1.2,1.2,2.9,1.6,1.1,4.4,1.4,0.9,3.1,1.6,3.0,0.6,3.1,2.1
WK0363KL,IJselbuurt,433,28.0,wk0363kl,0.5,2.4,0.7,2.4,2.4,0.5,0.3,1.9,0.5,0.3,0.5,0.6,0.4,0.6,0.7,0.9,0.9,1.0,1.9,1.4,3.5,1.1,1.4,3.8,1.5,1.3,2.9,1.8,3.4,0.5,3.1,1.5
WK0363KM,Rijnbuurt,921,40.0,wk0363km,0.4,3.0,0.4,3.0,3.0,0.4,0.4,2.3,0.4,0.4,0.3,0.8,0.3,0.4,0.5,0.6,0.6,0.6,1.4,1.3,3.7,1.6,0.9,4.0,1.9,1.4,3.3,2.2,3.4,0.8,3.3,1.8
WK0363KN,Prinses Irenebuurt e.o.,394,11.0,wk0363kn,0.6,2.1,0.7,2.1,2.1,0.7,0.6,0.9,0.8,0.4,0.4,0.5,0.4,0.7,0.8,0.4,0.5,0.4,1.5,0.9,0.9,1.5,2.4,6.4,2.1,0.4,3.2,2.3,1.5,0.7,2.7,2.6
WK0363KP,Zuidas,1506,131.0,wk0363kp,0.6,2.1,0.6,2.1,2.1,0.5,0.6,0.8,0.5,0.1,0.2,0.3,0.2,0.7,0.7,0.9,1.2,0.9,1.2,1.0,1.3,1.1,2.6,6.5,2.8,1.1,3.9,2.9,0.8,1.5,2.1,3.4
WK0363KQ,Buitenveldert-West,2744,63.0,wk0363kq,0.5,1.8,0.5,1.8,1.8,0.4,0.4,1.1,0.7,0.5,0.3,0.6,0.4,0.6,0.7,0.7,0.7,0.7,1.6,2.1,2.2,1.1,3.6,7.5,3.4,1.8,3.8,4.1,1.3,1.1,1.6,4.0
